Prompt;Response;Ground Truth
"Star Wars: The Last Jedi
Walt Disney Studios Home Entertainment will release Star Wars: The Last Jedi digitally in HD and 4K via download and Disney Movies Anywhere on March 13, 2018, with an Ultra HD Blu - Ray, Blu - ray, and DVD release on March 27.

Which film was released earlier, Premium (Film) or Week-End With Father?";Premium.;Week-End With Father
"Gevherhan Sultan
Gevherhan Sultan may refer to Ottoman princesses:

What nationality is Gevherhan Sultan (Daughter Of Selim Ii)'s father?";Ottoman.;Ottoman Empire
"𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Are both Țerova and Slava (River) located in the same country?";Yes.;yes
"Education in South Korea
Level / Grade Typical age Infant School Nursery School 0 - 3 (1 - 4) Kindergarten 4 - 6 (5 - 7) Primary School 1st Grade 7 (8) 2nd Grade 8 (9) 3rd Grade 9 (10) 4th Grade 10 (11) 5th Grade 11 (12) 6th Grade 12 (13) Middle School 7th grade 13 (14) 8th Grade 14 (15) 9th Grade 15 (16) High School 10th Grade 16 (17) 11th Grade 17 (18) 12th Grade 18 (19) Post-secondary education Tertiary education (College or University) Ages vary (usually four years, referred to as Freshman, Sophomore, Junior and Senior years) Membership Training in Korea Ages also vary as they do for Tertiary education

Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?";No.;no
"Prince Frederick William of Hesse-Kassel
Frederick William George Adolphus, Landgrave of Hesse (25 November 1820 – 14 October 1884) was the only son of Wilhelm I, Landgrave of Hesse-Kassel-Rumpenheim and Princess Louise Charlotte of Denmark.

Who is the paternal grandmother of Prince William Of Hesse-Kassel?";Louise of Denmark;Princess Mary of Great Britain
"Tim Wilson (broadcaster)
Tim Wilson is a New Zealand journalist, producer, author and radio personality working for TVNZ and NZME.

Where did the presenter of Tim Russert (Talk Show) die?";Washington, D.C.;Washington
"Herbert Smith (producer)
Herbert Smith( 1901–1986) was a British film producer. He was born on 30 June 1901 in London. He started in production with G.B. Samuelson, joined Paramount British for the production of The Officer's Mess, then in 1932 went to work for his elder brother Sam at British Lion as assistant director on The Frightened Lady, The Calendar, Whiteface, There Goes the Bride, Sally Bishop, The Ringer, King of the Ritz. Herbert then started to direct in 1930 with on the Air, In Town Tonight, Soft Lights and Sweet Music, Calling all Stars, It's a Grand Old World, Leave it to Me, He's Got Everything, In 1938, I've Got a Horse, Around the Town, Home from Home and in 1939, All at Sea. By this time he was the production supervisor at Beaconsfield Studios. Herbert was a great one for deleting his name from the credits. As Executive in charge of Production, many films he controlled while at Denham Studios went by uncredited, such as Henry V and Hamlet both with Laurence Olivier. There are many others not all mentioned here. In 1956 Herbert was called by Sidney Box who asked if he would make a movie about the new Rock' n' Roll. What came out of this was The Tommy Steele Story, with great music by Lionel Bart – his first movie score. Herbert followed up with_ 6.5 Special( 1958)_ with all the pop stars of the period. His last film was Too Young to Love( 1960) with Thomas Mitchell in 1960. He was an assistant director on five films between 1930 and 1933, before the first 13 for which he was director( the last of them in 1940). He produced 69 films( including the majority of his director- credited films), for Denham Film Studios and British Lion Films from 1933 to 1963, including the war film"" They Were Not Divided"" in 1950. He died on 4 February 1986 in Ramsgate, Kent.

Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?";The director of 11 Harrowhouse died earlier.;A Little Sister Of Everybody
"Lists of horror film characters
Lists of horror film characters includes:

What is the place of birth of the director of film The Last Horror Movie?";London, England;Newport
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Tilda Swinton as Jadis, the White Witch, who holds Narnia under an eternal winter without Christmas or Spring or Summer.

Which film has the director who is older, The Woman In The Fifth or End Of Winter?";The Woman In The Fifth.;The Woman In The Fifth
"Green White Green
Green White Green is a coming of age film revolving around three teenagers, who seem on an interminably long wait for university.

Which film has the director who is older, The Girl King or Happy As The Grass Was Green?";The Girl King;Happy As The Grass Was Green
"Mary Percy, Countess of Northumberland
Mary Percy, Countess of Northumberland (""née"" Talbot; died 16 April 1572) was a courtier and noblewoman during the reign of Henry VIII of England. She was the daughter of George Talbot, 4th Earl of Shrewsbury. Her husband, Henry Percy, 6th Earl of Northumberland, had wished to marry Anne Boleyn instead of her.

Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?";Mary Percy, Countess of Northumberland.;Catherine of Braganza
"Ghost in the Machine
Ghost in the Machine may refer to:

Where does the director of film Ghost In The Machine (Film) work at?";Rachel Talalay works in the field of directing.;University of British Columbia
"Chah-e Puzeh
Chah -e Puzeh or Chah Puzeh may refer to:

Are Elsah, Illinois and Chah-E Puzeh, Tabas both located in the same country?";No.;no
"Bertrada of Prüm
Bertrada (b. ca. 670; d. after 721), also called Berthe or Bertree, is known to be the mother of Charibert of Laon, with whom she is co-founder and benefactor of the Prüm Abbey. They founded the abbey in 721. Through Charibert's daughter Bertrada of Laon, wife of Pippin the Short, Bertrada is the great-grandmother of Charlemagne. The identity of her husband is unknown. Bertrada and her husband had three children: Three alternative solutions to the question of her parentage have been suggested:
The last two possibilities are not mutually exclusive.

Who is the paternal grandmother of Louis, Count Of Verdun?";Bertrada of Laon.;Gerberge of Lorraine
"Anne of Cyprus
Anne of Cyprus (or Anne de Lusignan) (24 September 1418 – 11 November 1462) was a Duchess of Savoy by marriage to Louis, Duke of Savoy. She was the daughter of King Janus of Cyprus and Charlotte of Bourbon; and a member of the Poitiers-Lusignan crusader dynasty.

What nationality is Anne Of Burgundy's father?";Cypriot;France
"The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film has the director who was born later, All The Gold In The World or The Crowning Touch?";The Crowning Touch;The Crowning Touch
"Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who lived longer, Csaba Pálinkás or Henry Scheffé?";Henry Scheffé;Henry Scheffé
"List of most expensive films
Due to the secretive nature of Hollywood accounting it is not clear which film is the most expensive film ever made. Pirates of the Caribbean: On Stranger Tides officially holds the record with a budget of $378.5 million, while The Hobbit trilogy stands as the most expensive back - to - back film production with combined costs of $623 million after tax credits.

Which film was released more recently, Pirates Of The Prairie or Alien Origin?";Alien Origin.;Alien Origin
"Margaret of France, Queen of England
Margaret of France (c. 1279 – 14 February 1318)
was Queen of England as the second wife of King Edward I. She was a daughter of Philip III of France and Maria of Brabant.

Who is the mother of Edward I Of England?";Eleanor of Provence.;Eleanor of Provence
"Margaret, Countess of Blois
Margaret of Blois( French:"" Marguerite""; died 1230) was"" suo jure"" Countess of Blois from 1218 to 1230, in what is now France.

What is the date of death of Joan, Countess Of Blois's mother?";1230;2 August 1288
"Raja El-Issa
Raja Issa El- Issa(( his surname also spelt al Issa and Elissa); born 1922 in Jaffa, mandatory Palestine), was a Palestinian journalist. He completed his secondary schooling in Ramallah and then joined the American University in Beirut, Lebanon. Eleven years before his birth, his father, Issa El- Issa founded the"" Falastin"" newspaper. He died on 1 December 2008 at the age of 86 in Amman.

Which album came out first, Issa Album or 3.2.1.?";Issa Album.;3.2.1.
"Sancho Ramírez, Count of Ribagorza
Sancho Ramírez (before 10431105/November 1110) was an illegitimate son of King Ramiro I of Aragon and Amuña, the firstborn and brother of his namesake who would inherit the throne and reign as Sancho Ramírez.

Who is Sancho Ramírez's maternal grandfather?";García Sánchez III of Navarre;Bernard-Roger, Count of Bigorre
"It's a Wonderful Life
Due to all the above actions, this is one of the few RKO films not controlled by Turner Entertainment / Warner Bros. in the USA. It is also one of two Capra films Paramount owns despite not having originally released it -- the other is Broadway Bill (originally from Columbia, remade by Paramount as Riding High in 1950).

Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?";It Happened At The World's Fair.;It Happened At The World'S Fair
"The X Factor (British series 7)
Contestants' performances on the tenth live show Act Order First song Order Second song (duet) Result Matt Cardle ``Here with Me ''5`` Unfaithful'' (with Rihanna) Safe Rebecca Ferguson ``Like a Star ''6`` Beautiful'' (with Christina Aguilera) Safe One Direction ``Your Song ''7`` She's the One'' (with Robbie Williams) Safe Cher Lloyd ``The Clapping Song ''/`` Get Ur Freak On'' 8 ``Where Is the Love? ''/`` I Gotta Feeling'' (with will.i.am) Eliminated

Who is the spouse of the performer of song Lolita (Leah Labelle Song)?";Leah Labelle and Rasual Butler.;Rasual Butler
"Academy of Motion Picture Arts and Sciences
The roster of the Academy's approximately 6,000 motion picture professionals is a ``closely guarded secret ''. While the great majority of its members are based in the United States, membership is open to qualified filmmakers around the world.

Do director of film Winter Meeting and director of film Year Of The Horse have the same nationality?";No.;no
